PING 149.112.112.112 (149.112.112.112) 56(84) bytes of data.
64 bytes from 149.112.112.112: icmp_seq=240 ttl=56 time=26.6 ms
64 bytes from 149.112.112.112: icmp_seq=241 ttl=56 time=26.4 ms
64 bytes from 149.112.112.112: icmp_seq=242 ttl=56 time=41.5 ms
64 bytes from 149.112.112.112: icmp_seq=243 ttl=56 time=22.2 ms
64 bytes from 149.112.112.112: icmp_seq=244 ttl=56 time=21.4 ms
64 bytes from 149.112.112.112: icmp_seq=245 ttl=56 time=16.2 ms
64 bytes from 149.112.112.112: icmp_seq=246 ttl=56 time=39.1 ms
64 bytes from 149.112.112.112: icmp_seq=247 ttl=56 time=33.7 ms
64 bytes from 149.112.112.112: icmp_seq=248 ttl=56 time=19.0 ms
64 bytes from 149.112.112.112: icmp_seq=249 ttl=56 time=33.9 ms
64 bytes from 149.112.112.112: icmp_seq=250 ttl=56 time=42.0 ms
64 bytes from 149.112.112.112: icmp_seq=251 ttl=56 time=19.2 ms
64 bytes from 149.112.112.112: icmp_seq=252 ttl=56 time=30.1 ms
64 bytes from 149.112.112.112: icmp_seq=253 ttl=56 time=20.8 ms
64 bytes from 149.112.112.112: icmp_seq=254 ttl=56 time=34.6 ms
64 bytes from 149.112.112.112: icmp_seq=255 ttl=56 time=24.5 ms
64 bytes from 149.112.112.112: icmp_seq=256 ttl=56 time=32.6 ms
64 bytes from 149.112.112.112: icmp_seq=257 ttl=56 time=22.9 ms
64 bytes from 149.112.112.112: icmp_seq=258 ttl=56 time=18.6 ms
64 bytes from 149.112.112.112: icmp_seq=259 ttl=56 time=24.4 ms
64 bytes from 149.112.112.112: icmp_seq=260 ttl=56 time=22.2 ms
64 bytes from 149.112.112.112: icmp_seq=261 ttl=56 time=20.3 ms
64 bytes from 149.112.112.112: icmp_seq=262 ttl=56 time=20.9 ms
64 bytes from 149.112.112.112: icmp_seq=263 ttl=56 time=17.2 ms
64 bytes from 149.112.112.112: icmp_seq=264 ttl=56 time=77.9 ms
64 bytes from 149.112.112.112: icmp_seq=265 ttl=56 time=28.3 ms
64 bytes from 149.112.112.112: icmp_seq=266 ttl=56 time=36.6 ms
64 bytes from 149.112.112.112: icmp_seq=267 ttl=56 time=25.2 ms
64 bytes from 149.112.112.112: icmp_seq=268 ttl=56 time=23.1 ms
64 bytes from 149.112.112.112: icmp_seq=269 ttl=56 time=39.8 ms
64 bytes from 149.112.112.112: icmp_seq=270 ttl=56 time=60.1 ms
64 bytes from 149.112.112.112: icmp_seq=271 ttl=56 time=19.4 ms
64 bytes from 149.112.112.112: icmp_seq=272 ttl=56 time=36.3 ms
64 bytes from 149.112.112.112: icmp_seq=273 ttl=56 time=33.9 ms
64 bytes from 149.112.112.112: icmp_seq=274 ttl=56 time=32.9 ms
64 bytes from 149.112.112.112: icmp_seq=275 ttl=56 time=29.1 ms
64 bytes from 149.112.112.112: icmp_seq=276 ttl=56 time=27.9 ms
64 bytes from 149.112.112.112: icmp_seq=277 ttl=56 time=25.8 ms
64 bytes from 149.112.112.112: icmp_seq=278 ttl=56 time=17.2 ms
64 bytes from 149.112.112.112: icmp_seq=279 ttl=56 time=22.3 ms
64 bytes from 149.112.112.112: icmp_seq=280 ttl=56 time=20.1 ms
64 bytes from 149.112.112.112: icmp_seq=281 ttl=56 time=21.4 ms
64 bytes from 149.112.112.112: icmp_seq=282 ttl=56 time=37.4 ms
64 bytes from 149.112.112.112: icmp_seq=283 ttl=56 time=45.0 ms
64 bytes from 149.112.112.112: icmp_seq=284 ttl=56 time=42.0 ms
64 bytes from 149.112.112.112: icmp_seq=285 ttl=56 time=33.3 ms
64 bytes from 149.112.112.112: icmp_seq=286 ttl=56 time=36.5 ms
64 bytes from 149.112.112.112: icmp_seq=287 ttl=56 time=40.1 ms
64 bytes from 149.112.112.112: icmp_seq=288 ttl=56 time=30.3 ms
64 bytes from 149.112.112.112: icmp_seq=289 ttl=56 time=38.0 ms
64 bytes from 149.112.112.112: icmp_seq=290 ttl=56 time=36.0 ms
64 bytes from 149.112.112.112: icmp_seq=291 ttl=56 time=24.8 ms
64 bytes from 149.112.112.112: icmp_seq=292 ttl=56 time=28.3 ms
64 bytes from 149.112.112.112: icmp_seq=293 ttl=56 time=29.9 ms
64 bytes from 149.112.112.112: icmp_seq=294 ttl=56 time=20.9 ms
64 bytes from 149.112.112.112: icmp_seq=295 ttl=56 time=25.5 ms
64 bytes from 149.112.112.112: icmp_seq=296 ttl=56 time=24.1 ms
64 bytes from 149.112.112.112: icmp_seq=297 ttl=56 time=22.6 ms
64 bytes from 149.112.112.112: icmp_seq=298 ttl=56 time=19.2 ms
64 bytes from 149.112.112.112: icmp_seq=299 ttl=56 time=17.5 ms
64 bytes from 149.112.112.112: icmp_seq=300 ttl=56 time=49.7 ms
